date,max_temp,min_temp,avg_temp
2026-01-25,28.2,18.0,23.1
2026-01-26,28.9,18.8,23.85
2026-01-27,29.6,19.8,24.700000000000003
2026-01-28,30.1,19.4,24.75
2026-01-29,29.7,17.7,23.7
2026-01-30,29.8,17.8,23.8
2026-01-31,29.9,17.7,23.799999999999997
2026-02-01,29.9,17.1,23.5
